Browser,Owner,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Common Name or Certificate Name,SHA-1 Fingerprint,Valid From [GMT],Valid To [GMT],Signing Key Parameters,Signature Algorithm,Trust Bits,EV Policy OID(s),Approval Bug,NSS Release When First Included,Firefox Release When First Included,URL to Test Website or Example Cert,Mozilla Applied Constraints,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Standard Audit,BR Audit,EV Audit,Auditor,Standard Audit Type,Standard Audit Statement Dt,Comments,Country
Firefox,TurkTrust,(c) 2005 TÜRKTRUST Bilgi ?leti?im ve Bili?im Güvenli?i Hizmetleri A.?.,,TÜRKTRUST Elektronik Sertifika Hizmet Sa?lay?c?s?,7998A308E14D6585E6C21E153A719FBA5AD34AD9,2005 May 13,2015 Mar 22,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=380635,NSS 3.11.9,Firefox 2,,,http://www.turktrust.com.tr,http://www.turktrust.com.tr/en/repository,http://www.turktrust.com.tr/en/repository,https://www.tuvit.de/en/certification-overview-1265-trusted-site-etsi-certificates-1334.htm,https://www.tuvit.de/en/certification-overview-1265-trusted-site-etsi-certificates-1334.htm,,TUVIT,ETSI TS 102 042,2014.12.19,,
Firefox,A-Trust,A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH,A-Trust-nQual-03,A-Trust-nQual-03,D3C063F219ED073E34AD5D750B327629FFD59AF2,2005 Aug 17,2015 Aug 17,2048,SHA-1,Websites,1.2.40.0.17.1.22,https://bugzilla.mozilla.org/show_bug.cgi?id=530797,NSS 3.12.11,Firefox 6.0.2,https://test1.a-trust.at/,,http://www.a-trust.at,https://www.a-trust.at/docs/cp,https://www.a-trust.at/docs/cps,https://cert.webtrust.org/SealFile?seal=1753&file=pdf,https://cert.webtrust.org/SealFile?seal=1803&file=pdf,https://cert.webtrust.org/SealFile?seal=1754&file=pdf,Ernst & Young,WebTrust,2014.10.03,,
Firefox,Camerfirma,AC Camerfirma S.A.,,Chambers of Commerce Root - 2008,786A74AC76AB147F9C6A3050BA9EA87EFE9ACE3C,2008 Aug 01,2038 Jul 31,4096,SHA-1,Code; Email; Websites,1.3.6.1.4.1.17326.10.14.2.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=406968,NSS 3.12.9,Firefox 4.0,https://www.camerfirma.com,,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1738&file=pdf,Ernst & Young,WebTrust,2014.05.30,,
Firefox,Camerfirma,AC Camerfirma S.A.,,Global Chambersign Root - 2008,4ABDEEEC950D359C89AEC752A12C5B29F6D6AA0C,2008 Aug 01,2038 Jul 31,4096,SHA-1,Code; Email; Websites,1.3.6.1.4.1.17326.10.8.12.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=406968,NSS 3.12.9,Firefox 4.0,Not yet issuing SSL certs.,,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1738&file=pdf,Ernst & Young,WebTrust,2014.05.30,,
Firefox,Camerfirma,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,Chambers of Commerce Root,6E3A55A4190C195C93843CC0DB722E313061F0B1,2003 Sep 30,2037 Sep 30,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=261778,,Firefox 1,https://server1.camerfirma.com/,,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,,Ernst & Young,WebTrust,2014.05.30,,
Firefox,Camerfirma,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,Global Chambersign Root,339B6B1450249B557A01877284D9E02FC3D2D8E9,2003 Sep 30,2037 Sep 30,2048,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=261778,,Firefox 1,Not yet issuing SSL certs.,,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,https://cert.webtrust.org/SealFile?seal=1749&file=pdf,,Ernst & Young,WebTrust,2014.05.30,,
Firefox,"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)",ACCV,PKIACCV,ACCVRAIZ1,93057A8815C64FCE882FFA9116522878BC536417,2011 May 05,2030 Dec 31,4096,SHA-1,Code; Email; Websites,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=811352,NSS 3.15.4,Firefox 27,https://ulik2.accv.es,,http://www.pki.gva.es/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/politicas-de-certificacion/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/,https://cert.webtrust.org/SealFile?seal=1715&file=pdf,https://cert.webtrust.org/SealFile?seal=1715&file=pdf,,DNB,WebTrust,2014.07.21,The SealFile contains both the WebTrust CA (page 7) and BR (page 17) audit statements in both Spanish and English.,
Firefox,Actalis,Actalis S.p.A./03358520967,,Actalis Authentication Root CA,F373B387065A28848AF2F34ACE192BDDC78E9CAC,2011 Sep 22,2030 Sep 22,4096,SHA-256,Code; Websites,1.3.159.1.17.1,https://bugzilla.mozilla.org/show_bug.cgi?id=520557,NSS 3.13.6,Firefox 16,https://ssltest-a.actalis.it:8443,,http://www.actalis.it/,http://www.actalis.it/area-download.aspx,http://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing-v2-3-en.aspx,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,IMQ,ETSI TS 102 042,2014.09.23,,
Firefox,Comodo,AddTrust AB,AddTrust TTP Network,AddTrust Class 1 CA Root,CCAB0EA04C2301D6697BDD379FCD12EB24E3949D,2000 May 30,2020 May 30,2048,SHA-1,Email; Websites,Not EV,legacy,,Firefox 1,https://addtrustclass1caroot.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,,
Firefox,Comodo,AddTrust AB,AddTrust External TTP Network,AddTrust External CA Root,02FAF3E291435468607857694DF5E45B68851868,2000 May 30,2020 May 30,2048,SHA-1,Code; Email; Websites,1.3.6.1.4.1.6449.1.2.1.5.1,legacy,,Firefox 1,https://addtrustexternalcaroot-ev.comodoca.com/,,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,,
