Approval Bug,Auditor,BR Audit,Browser,Certificate Issuer Organization,Certificate Issuer Organizational Unit,Certificate Policy (CP),Certification Practice Statement (CPS),Common Name or Certificate Name,Company Website,EV Audit,EV Policy OID(s),Firefox Release When First Included,Geographic Focus,Mozilla Applied Constraints,NSS Release When First Included,Owner,SHA-1 Fingerprint,Signature Algorithm,Signing Key Parameters,Standard Audit,Standard Audit Statement Dt ,Standard Audit Type,Trust Bits,URL to Test Website or Example Cert,Valid From [GMT],Valid To [GMT]
https://bugzilla.mozilla.org/show_bug.cgiid=520557,IMQ,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,Firefox,Actalis S.p.A./03358520967,,http://www.actalis.it/area-download.aspx,http://www.actalis.it/documenti-en/cps-for-ssl-server-and-code-signing-v2-3-en.aspx,Actalis Authentication Root CA,http://www.actalis.it/,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,1.3.159.1.17.1,Firefox 16,Italy,,NSS 3.13.6,Actalis,F373B387065A28848AF2F34ACE192BDDC78E9CAC,SHA-256,4096,http://www.actalis.it/documenti-en/actalisca_audit_statement.pdf,2015.09.23 ,ETSI TS 102 042,Websites;Code,https://ssltest-a.actalis.it:8443,2011 Sep 22,2030 Sep 22
https://bugzilla.mozilla.org/show_bug.cgiid=527056,KPMG,https://cert.webtrust.org/SealFileseal=1568&file=pdf,Firefox,"Starfield Technologies, Inc.",,http://www.awstrust.com/repository/cp-1.0.1.pdf,http://www.awstrust.com/repository/cps-1.0.2.pdf,Starfield Services Root Certificate Authority - G2,https://aws.amazon.com/,,Not EV,Firefox 6.0,Global,,NSS 3.12.10,Amazon,925A8F8D2C6D04E0665F596AFF22D863E8256F3F,SHA-256,2048,https://cert.webtrust.org/SealFileseal=1568&file=pdf,2015.08.21 ,WebTrust,Websites;Code,https://valid.sfsg2.catest.starfieldtech.com/,2009 Sep 01,2037 Dec 31
https://bugzilla.mozilla.org/show_bug.cgiid=624356,KPMG,http://www.sk.ee/en/repository/audit/,Firefox,AS Sertifitseerimiskeskus,,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,EE Certification Centre Root CA,http://www.sk.ee/,,Not EV,Firefox 18,"Baltic region (Estonia, Lithuania, Latvia)",,NSS 3.14,AS Sertifitseerimiskeskuse (SK),C9A8B9E755805E58E35377A725EBAFC37B27CCD7,SHA-1,2048,http://www.sk.ee/en/repository/audit/,2015.01.30 ,ETSI TS 102 042,Websites;Code,https://www.openxades.org/docportal/,2010 Oct 30,2030 Dec 17
https://bugzilla.mozilla.org/show_bug.cgiid=414520,KPMG,http://www.sk.ee/en/repository/audit/,Firefox,AS Sertifitseerimiskeskus,,http://www.sk.ee/en/repository/CPS,http://www.sk.ee/en/repository/CPS,Juur-SK,http://www.sk.ee/,,Not EV,Firefox 3.6.2,"Baltic region (Estonia, Lithuania, Latvia)",,NSS 3.12.6,AS Sertifitseerimiskeskuse (SK),409D4BD917B55C27B69B64CB9822440DCD09B889,SHA-1,2048,http://www.sk.ee/en/repository/audit/,2015.01.30 ,ETSI TS 102 042,Websites;Code,https://www.sk.ee,2001 Aug 30,2016 Aug 26
https://bugzilla.mozilla.org/show_bug.cgiid=711366,DQS GmbH,https://www.mydqs.com/kunden/kundendatenbank.htmlaoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,Firefox,Atos,,https://pki.atos.net/TrustedRoot/,https://pki.atos.net/Download/AtosTrustedCACPSv1.7.pdf,Atos TrustedRoot 2011,https://pki.atos.net/TrustedRoot/,,Not EV,Firefox 29,Europe,,NSS 3.16,Atos,2BB1F53E550C1DC5F1D4E6B76A464B550602AC21,SHA-256,2048,https://www.mydqs.com/kunden/kundendatenbank.htmlaoemydqs%5Bcompany_no%5D=334220&aoemydqs%5Baction%5D=singleView&cHash=c086db2a2cd03a17407d1f2712ab2dd4,2015.07.01 ,ETSI TS 102 042,Websites;Email;Code,https://pki.atos.net:7081/,2011 Jul 07,2030 Dec 31
https://bugzilla.mozilla.org/show_bug.cgiid=530797,Ernst & Young,https://cert.webtrust.org/SealFileseal=1934&file=pdf,Firefox,A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH,A-Trust-nQual-03,https://www.a-trust.at/docs/cp,https://www.a-trust.at/docs/cps,A-Trust-nQual-03,http://www.a-trust.at,https://cert.webtrust.org/SealFileseal=1933&file=pdf,1.2.40.0.17.1.22,Firefox 6.0.2,"Austria, Central Europe",,NSS 3.12.11,A-Trust,D3C063F219ED073E34AD5D750B327629FFD59AF2,SHA-1,2048,https://cert.webtrust.org/SealFileseal=1932&file=pdf,2015.06.26 ,WebTrust,Websites,https://test1.a-trust.at/,2005 Aug 17,2015 Aug 17
https://bugzilla.mozilla.org/show_bug.cgiid=521439,Auren,NONE!,Firefox,Autoridad de Certificacion Firmaprofesional,,http://www.firmaprofesional.com/cps,http://www.firmaprofesional.com/cps,Autoridad de Certificacion Firmaprofesional CIF A62634068,http://www.firmaprofesional.com/,https://cert.webtrust.org/SealFileseal=1847&file=pdf,1.3.6.1.4.1.13177.10.1.3.10,Firefox 4.0,Spain,,NSS 3.12.9,Autoridad de Certificacion Firmaprofesional,AEC5FB3FC8E1BFC4E54F03075A9AE800B7F7B6FA,SHA-1,4096,https://cert.webtrust.org/SealFileseal=1846&file=pdf,2015.03.11 ,WebTrust,Websites;Email;Code,https://publifirma.firmaprofesional.com/,2009 May 20,2030 Dec 31
https://bugzilla.mozilla.org/show_bug.cgiid=477028,BSI,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,Firefox,Buypass AS-983163327,,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,Buypass Class 2 CA 1,http://www.buypass.no/,,Not EV,Firefox 3.6,Europe,,NSS 3.12.5,Buypass,A0A1AB90C9FC847B3B1261E8977D5FD32261D3CC,SHA-1,2048,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,2015.02.25 ,ETSI TS 102 042,Websites,https://valid.domainplus.ca12.ssl.buypass.no/,2006 Oct 13,2016 Oct 13
https://bugzilla.mozilla.org/show_bug.cgiid=685128,BSI,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,Firefox,Buypass AS-983163327,,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,Buypass Class 2 Root CA,http://www.buypass.no/,,Not EV,Firefox 16,Europe,,NSS 3.13.6,Buypass,490A7574DE870A47FE58EEF6C76BEBC60B124099,SHA-256,4096,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,2015.02.25 ,ETSI TS 102 042,Websites,https://valid.domainplus.ca22.ssl.buypass.no/,2010 Oct 26,2040 Oct 26
https://bugzilla.mozilla.org/show_bug.cgiid=685128,BSI,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,Firefox,Buypass AS-983163327,,http://www.buypass.com/home/support/ca-documentation-legal,http://www.buypass.com/home/support/ca-documentation-legal,Buypass Class 3 Root CA,http://www.buypass.no/,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,2.16.578.1.26.1.3.3,Firefox 16,Europe,,NSS 3.13.6,Buypass,DAFAF7FA6684EC068F1450BDC7C281A5BCA96457,SHA-256,4096,http://www.buypass.no/om-buypass/etsi-102-042/_attachment/33325_download=true&_ts=14bc532b650,2015.02.25 ,ETSI TS 102 042,Websites,https://valid.evident.ca23.ssl.buypass.no/,2010 Oct 26,2040 Oct 26
